rollout/ep_len_mean,rollout/exploration_rate,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
20.6,0.9752799999999999,10547,20.6,206,10,0,,,
23.55,0.9434800000000001,10808,23.55,471,20,0,,,
21.766666666666666,0.9216400000000002,10863,21.766666666666666,653,30,0,,,
22.3,0.8929600000000002,10994,22.3,892,40,0,,,
21.74,0.8695600000000001,2503,21.74,1087,50,0,128,0.03869048556637722,0.0023
23.566666666666666,0.8303200000000002,1787,23.566666666666666,1414,60,0,256,0.040691559508559294,0.0023
24.17142857142857,0.7969600000000001,1458,24.17142857142857,1692,70,1,384,0.06572981529097888,0.0023
27.525,0.7357600000000002,1110,27.525,2202,80,1,640,0.0931085032534611,0.0023
29.7,0.6792400000000003,961,29.7,2673,90,2,896,0.12095498866256094,0.0023
31.03,0.62764,847,31.03,3103,100,3,1152,0.142024577686243,0.0023
32.81,0.5815599999999999,863,32.81,3487,110,4,1280,0.16280286649998743,0.0023
38.13,0.48592000000000013,824,38.13,4284,120,5,1664,0.19538718814146705,0.0023
43.25,0.4026400000000001,773,43.25,4978,130,6,2048,0.1799369684958947,0.0023
52.49,0.26307999999999987,761,52.49,6141,140,8,2560,0.21139086624316406,0.0023
72.51,0.04,695,72.51,8338,150,11,3712,0.30393349691439653,0.0023
84.89,0.04,685,84.89,9903,160,14,4480,0.3459432050876785,0.0023
90.11,0.04,683,90.11,10703,170,15,4864,0.4038032475946238,0.0023
94.81,0.04,647,94.81,11683,180,18,5376,0.3301825648304657,0.0023
102.09,0.04,612,102.09,12882,190,21,6016,0.35737610360229155,0.0023
106.8,0.04,588,106.8,13783,200,23,6400,0.4549372512847185,0.0023
107.21,0.04,577,107.21,14208,210,24,6656,0.50264615361084,0.0023
107.61,0.04,563,107.61,15045,220,26,7040,0.5623517441417789,0.0023
108.69,0.04,552,108.69,15847,230,28,7424,0.599417627978255,0.0023
99.48,0.04,547,99.48,16089,240,29,7552,0.637714483513264,0.0023
84.83,0.04,542,84.83,16821,250,31,7936,0.7204349120002007,0.0023
75.26,0.04,534,75.26,17429,260,32,8320,0.8165587461116957,0.0023
75.11,0.04,536,75.11,18214,270,33,8704,0.7800651912548346,0.0023
73.35,0.04,539,73.35,19018,280,35,9088,0.749403571622679,0.0023
65.72,0.04,544,65.72,19454,290,35,9216,0.885948527000437,0.0023
63.88,0.04,545,63.88,20171,300,36,9600,0.9105198244214989,0.0023
68.04,0.04,543,68.04,21012,310,38,10112,0.9220254698884673,0.0023
69.13,0.04,545,69.13,21958,320,40,10496,0.9197758549125865,0.0023
63.94,0.04,545,63.94,22241,330,40,10624,0.8129977083881386,0.0023
70.98,0.04,542,70.98,23187,340,42,11136,1.1488950986240525,0.0023
72.55,0.04,536,72.55,24076,350,44,11648,1.0668713727209251,0.0023
75.42,0.04,540,75.42,24971,360,46,12032,1.2406906806572806,0.0023
76.22,0.04,544,76.22,25836,370,47,12416,0.9840172474214341,0.0023
77.4,0.04,545,77.4,26758,380,49,12928,1.0462657728348859,0.0023
80.42,0.04,548,80.42,27496,390,50,13312,0.914237087010406,0.0023
75.2,0.04,547,75.2,27691,400,50,13440,0.9880137606523931,0.0023
72.49,0.04,549,72.49,28261,410,51,13696,1.2270840824494371,0.0023
72.92,0.04,549,72.92,29250,420,53,14208,1.2594436249200953,0.0023
79.87,0.04,549,79.87,30228,430,55,14720,1.2197605772817042,0.0023
81.35,0.04,549,81.35,31322,440,56,15232,1.0402114017197164,0.0023
77.61,0.04,550,77.61,31837,450,57,15488,1.3597076052974444,0.0023
76.48,0.04,551,76.48,32619,460,59,15872,1.1888783099275315,0.0023
71.9,0.04,551,71.9,33026,470,59,16128,1.2728337315493263,0.0023
68.53,0.04,554,68.53,33611,480,60,16384,1.1382183210807852,0.0023
63.76,0.04,554,63.76,33872,490,61,16512,1.1725288621382788,0.0023
65.61,0.04,556,65.61,34252,500,61,16640,1.3829668760299683,0.0023
66.99,0.04,556,66.99,34960,510,62,17024,1.511584469146328,0.0023
60.53,0.04,558,60.53,35303,520,63,17152,1.3504080011480255,0.0023
55.31,0.04,559,55.31,35759,530,63,17408,1.3588731528725475,0.0023
50.76,0.04,558,50.76,36398,540,65,17792,1.376179320999654,0.0023
51.09,0.04,559,51.09,36946,550,66,18048,1.5030660421471111,0.0023
48.98,0.04,561,48.98,37517,560,66,18304,1.7938932854740415,0.0023
52.64,0.04,562,52.64,38290,570,68,18688,1.62516910690465,0.0023
53.89,0.04,562,53.89,39000,580,69,19072,1.6477580440987367,0.0023
57.54,0.04,563,57.54,39626,590,70,19328,1.9223510387237184,0.0023
60.16,0.04,562,60.16,40268,600,71,19712,1.7564221517532133,0.0023
59.48,0.04,563,59.48,40908,610,72,19968,1.9586118710576557,0.0023
60.16,0.04,563,60.16,41319,620,73,20224,1.8872735534096137,0.0023
58.27,0.04,563,58.27,41586,630,73,20352,1.688806292542722,0.0023
57.32,0.04,561,57.32,42130,640,75,20608,2.0007757113780826,0.0023
58.83,0.04,560,58.83,42829,650,76,20992,2.1111608920036815,0.0023
66.88,0.04,562,66.88,44205,660,78,21632,2.4028412071056664,0.0023
69.86,0.04,564,69.86,45276,670,80,22144,1.9166231261042412,0.0023
69.66,0.04,563,69.66,45966,680,81,22528,2.033282288990449,0.0023
67.46,0.04,562,67.46,46372,690,82,22784,2.71876749797957,0.0023
65.76,0.04,565,65.76,46844,700,82,22912,2.545750324614346,0.0023
66.74,0.04,566,66.74,47582,710,84,23296,2.4533248831285164,0.0023
73.67,0.04,562,73.67,48686,720,86,23936,2.445572913158685,0.0023
75.32,0.04,564,75.32,49118,730,87,24064,2.597963683481794,0.0023
71.8,0.04,563,71.8,49310,740,87,24192,2.6568955332622863,0.0023
73.09,0.04,563,73.09,50138,750,88,24576,3.3452168915537186,0.0023
